row,no,batch_code,batch_name_ja,doc_type,work_ja,assignee,effort_hours,planned_start,planned_end,actual_start,actual_end,status_ja,status_en
28,25,MST-02-03,工場コード別生産連動時取引先コードマスタ,シーケンス図,作成,SKG,1.0,2026-08-18,2026-08-18,2026-08-18,2026-08-18,完了,DONE
29,26,MST-02-03,工場コード別生産連動時取引先コードマスタ,クラス図,作成,SKG,3.0,2026-08-18,2026-08-18,2026-08-18,2026-08-18,完了,DONE
30,27,MST-02-03,工場コード別生産連動時取引先コードマスタ,クラス仕様,作成,SKG,8.0,2026-08-18,2026-08-19,2026-08-18,2026-08-20,完了,DONE
31,28,MST-02-03,工場コード別生産連動時取引先コードマスタ,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
32,29,MST-02-03,工場コード別生産連動時取引先コードマスタ,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
33,30,MST-02-03,工場コード別生産連動時取引先コードマスタ,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
35,32,MST-02-04,材料単価経歴情報,シーケンス図,作成,SKG,1.0,2026-08-19,2026-08-19,2026-08-19,2026-08-19,完了,DONE
36,33,MST-02-04,材料単価経歴情報,クラス図,作成,SKG,3.0,2026-08-19,2026-08-19,2026-08-19,2026-08-19,完了,DONE
37,34,MST-02-04,材料単価経歴情報,クラス仕様,作成,SKG,8.0,2026-08-19,2026-08-20,2026-08-19,2026-08-20,完了,DONE
38,35,MST-02-04,材料単価経歴情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
39,36,MST-02-04,材料単価経歴情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
40,37,MST-02-04,材料単価経歴情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
42,39,MST-02-05,持ち部品単価経歴情報,シーケンス図,作成,SKG,1.0,2026-08-20,2026-08-20,2026-08-20,2026-08-20,完了,DONE
43,40,MST-02-05,持ち部品単価経歴情報,クラス図,作成,SKG,3.0,2026-08-20,2026-08-20,2026-08-20,2026-08-20,完了,DONE
44,41,MST-02-05,持ち部品単価経歴情報,クラス仕様,作成,SKG,8.0,2026-08-20,2026-08-21,2026-08-20,,進行中,DOING
45,42,MST-02-05,持ち部品単価経歴情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
46,43,MST-02-05,持ち部品単価経歴情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
47,44,MST-02-05,持ち部品単価経歴情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
49,46,MST-02-06,コア単価経歴情報,シーケンス図,作成,SKG,1.0,2026-08-21,2026-08-21,2026-08-21,2026-08-21,完了,DONE
50,47,MST-02-06,コア単価経歴情報,クラス図,作成,SKG,3.0,2026-08-21,2026-08-21,2026-08-21,2026-08-21,完了,DONE
51,48,MST-02-06,コア単価経歴情報,クラス仕様,作成,SKG,8.0,2026-08-21,2026-08-24,2026-08-21,,進行中,DOING
52,49,MST-02-06,コア単価経歴情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
53,50,MST-02-06,コア単価経歴情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
54,51,MST-02-06,コア単価経歴情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
56,53,MST-02-07,PRiSM図面実体情報,シーケンス図,作成,SKG,1.0,2026-08-24,2026-08-24,2026-08-24,2026-08-24,完了,DONE
57,54,MST-02-07,PRiSM図面実体情報,クラス図,作成,SKG,3.0,2026-08-24,2026-08-24,2026-08-24,2026-08-24,完了,DONE
58,55,MST-02-07,PRiSM図面実体情報,クラス仕様,作成,SKG,8.0,2026-08-24,2026-08-25,2026-08-24,,進行中,DOING
59,56,MST-02-07,PRiSM図面実体情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
60,57,MST-02-07,PRiSM図面実体情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
61,58,MST-02-07,PRiSM図面実体情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
63,60,MST-02-08,拠点ユニット明細情報,シーケンス図,作成,SKG,1.0,2026-08-25,2026-08-25,2026-08-25,2026-08-25,完了,DONE
64,61,MST-02-08,拠点ユニット明細情報,クラス図,作成,SKG,3.0,2026-08-25,2026-08-25,2026-08-25,2026-08-25,完了,DONE
65,62,MST-02-08,拠点ユニット明細情報,クラス仕様,作成,SKG,8.0,2026-08-25,2026-08-26,2026-08-25,,進行中,DOING
66,63,MST-02-08,拠点ユニット明細情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
67,64,MST-02-08,拠点ユニット明細情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
68,65,MST-02-08,拠点ユニット明細情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
70,67,MST-02-09,拠点見積依頼情報,シーケンス図,作成,SKG,1.0,2026-08-25,2026-08-25,2026-08-25,2026-08-25,完了,DONE
71,68,MST-02-09,拠点見積依頼情報,クラス図,作成,SKG,3.0,2026-08-25,2026-08-25,2026-08-25,2026-08-25,完了,DONE
72,69,MST-02-09,拠点見積依頼情報,クラス仕様,作成,SKG,8.0,2026-08-25,2026-08-26,2026-08-25,,進行中,DOING
73,70,MST-02-09,拠点見積依頼情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
74,71,MST-02-09,拠点見積依頼情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
75,72,MST-02-09,拠点見積依頼情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
77,74,MST-02-10,生産部番図番情報,シーケンス図,作成,SKG,1.0,2026-08-26,2026-08-26,2026-08-26,2026-08-26,完了,DONE
78,75,MST-02-10,生産部番図番情報,クラス図,作成,SKG,3.0,2026-08-26,2026-08-26,2026-08-26,2026-08-26,完了,DONE
79,76,MST-02-10,生産部番図番情報,クラス仕様,作成,SKG,8.0,2026-08-26,2026-08-27,2026-08-26,,進行中,DOING
80,77,MST-02-10,生産部番図番情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
81,78,MST-02-10,生産部番図番情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
82,79,MST-02-10,生産部番図番情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
84,81,MST-02-11,電子部品情報,シーケンス図,作成,SKG,1.0,2026-08-26,2026-08-26,2026-08-26,2026-08-26,完了,DONE
85,82,MST-02-11,電子部品情報,クラス図,作成,SKG,3.0,2026-08-26,2026-08-26,2026-08-26,2026-08-26,完了,DONE
86,83,MST-02-11,電子部品情報,クラス仕様,作成,SKG,8.0,2026-08-26,2026-08-27,2026-08-26,,進行中,DOING
87,84,MST-02-11,電子部品情報,シーケンス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
88,85,MST-02-11,電子部品情報,クラス図,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
89,86,MST-02-11,電子部品情報,クラス仕様,Try-Sレビュー①,Try-S,,,,2026-08-27,2026-08-27,完了,DONE
91,88,MST-02-14,SRMコードマスタ,シーケンス図,作成,SKG,1.0,2026-08-27,2026-08-27,2026-09-03,,進行中,DOING
92,89,MST-02-14,SRMコードマスタ,クラス図,作成,SKG,3.0,2026-08-27,2026-08-27,2026-09-03,,進行中,DOING
93,90,MST-02-14,SRMコードマスタ,クラス仕様,作成,SKG,8.0,2026-08-27,2026-08-28,2026-09-03,,進行中,DOING
94,91,MST-02-14,SRMコードマスタ,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
95,92,MST-02-14,SRMコードマスタ,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
96,93,MST-02-14,SRMコードマスタ,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
98,95,ETL-02-01,QRS予約待ち情報,シーケンス図,作成,SKG,,,,,,,TODO
99,96,ETL-02-01,QRS予約待ち情報,クラス図,作成,SKG,,,,,,,TODO
100,97,ETL-02-01,QRS予約待ち情報,クラス仕様,作成,SKG,,,,,,,TODO
101,98,ETL-02-01,QRS予約待ち情報,シーケンス図,Try-Sレビュー①,SKG・Try-S,,,,,,,TODO
102,99,ETL-02-01,QRS予約待ち情報,クラス図,Try-Sレビュー①,SKG・Try-S,,,,,,,TODO
103,100,ETL-02-01,QRS予約待ち情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
104,101,ETL-02-01,QRS予約待ち情報,シーケンス図,指摘修正①,SKG,,,,,,,TODO
105,102,ETL-02-01,QRS予約待ち情報,クラス図,指摘修正①,SKG,,,,,,,TODO
106,103,ETL-02-01,QRS予約待ち情報,クラス仕様,指摘修正①,SKG,,,,,,,TODO
107,104,ETL-02-01,QRS予約待ち情報,シーケンス図,Try-Sレビュー②,Try-S,,,,,,,TODO
108,105,ETL-02-01,QRS予約待ち情報,クラス図,Try-Sレビュー②,Try-S,,,,,,,TODO
109,106,ETL-02-01,QRS予約待ち情報,クラス仕様,Try-Sレビュー②,Try-S,,,,,,,TODO
110,107,ETL-02-01,QRS予約待ち情報,シーケンス図,東芝レビュー,東芝,,,,,,,TODO
111,108,ETL-02-01,QRS予約待ち情報,クラス図,東芝レビュー,東芝,,,,,,,TODO
112,109,ETL-02-01,QRS予約待ち情報,クラス仕様,東芝レビュー,東芝,,,,,,,TODO
114,111,ETL-02-02,QRS実行予約済み部材情報,シーケンス図,作成,SKG,,,,,,,TODO
115,112,ETL-02-02,QRS実行予約済み部材情報,クラス図,作成,SKG,,,,,,,TODO
116,113,ETL-02-02,QRS実行予約済み部材情報,クラス仕様,作成,SKG,,,,,,,TODO
117,114,ETL-02-02,QRS実行予約済み部材情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
118,115,ETL-02-02,QRS実行予約済み部材情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
119,116,ETL-02-02,QRS実行予約済み部材情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
121,118,ETL-02-03,QRS価格改定情報,シーケンス図,作成,SKG,,,,,,,TODO
122,119,ETL-02-03,QRS価格改定情報,クラス図,作成,SKG,,,,,,,TODO
123,120,ETL-02-03,QRS価格改定情報,クラス仕様,作成,SKG,,,,,,,TODO
124,121,ETL-02-03,QRS価格改定情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
125,122,ETL-02-03,QRS価格改定情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
126,123,ETL-02-03,QRS価格改定情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
128,125,ETL-02-04,QRS明細情報,シーケンス図,作成,SKG,,,,,,,TODO
129,126,ETL-02-04,QRS明細情報,クラス図,作成,SKG,,,,,,,TODO
130,127,ETL-02-04,QRS明細情報,クラス仕様,作成,SKG,,,,,,,TODO
131,128,ETL-02-04,QRS明細情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
132,129,ETL-02-04,QRS明細情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
133,130,ETL-02-04,QRS明細情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
135,132,ETL-02-05,材料部番BOM情報,シーケンス図,作成,SKG,,,,,,,TODO
136,133,ETL-02-05,材料部番BOM情報,クラス図,作成,SKG,,,,,,,TODO
137,134,ETL-02-05,材料部番BOM情報,クラス仕様,作成,SKG,,,,,,,TODO
138,135,ETL-02-05,材料部番BOM情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
139,136,ETL-02-05,材料部番BOM情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
140,137,ETL-02-05,材料部番BOM情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
142,139,ETL-02-06,図面アクセス情報,シーケンス図,作成,SKG,,,,,,,TODO
143,140,ETL-02-06,図面アクセス情報,クラス図,作成,SKG,,,,,,,TODO
144,141,ETL-02-06,図面アクセス情報,クラス仕様,作成,SKG,,,,,,,TODO
145,142,ETL-02-06,図面アクセス情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
146,143,ETL-02-06,図面アクセス情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
147,144,ETL-02-06,図面アクセス情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
149,146,ETL-02-07,図面添付情報,シーケンス図,作成,SKG,,,,,,,TODO
150,147,ETL-02-07,図面添付情報,クラス図,作成,SKG,,,,,,,TODO
151,148,ETL-02-07,図面添付情報,クラス仕様,作成,SKG,,,,,,,TODO
152,149,ETL-02-07,図面添付情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
153,150,ETL-02-07,図面添付情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
154,151,ETL-02-07,図面添付情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
156,153,ETL-02-08,図面授受管理情報,シーケンス図,作成,SKG,,,,,,,TODO
157,154,ETL-02-08,図面授受管理情報,クラス図,作成,SKG,,,,,,,TODO
158,155,ETL-02-08,図面授受管理情報,クラス仕様,作成,SKG,,,,,,,TODO
159,156,ETL-02-08,図面授受管理情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
160,157,ETL-02-08,図面授受管理情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
161,158,ETL-02-08,図面授受管理情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
163,160,ETL-02-10,見積依頼履歴情報_成功失敗ログ情報,シーケンス図,作成,SKG,,,,,,,TODO
164,161,ETL-02-10,見積依頼履歴情報_成功失敗ログ情報,クラス図,作成,SKG,,,,,,,TODO
165,162,ETL-02-10,見積依頼履歴情報_成功失敗ログ情報,クラス仕様,作成,SKG,,,,,,,TODO
166,163,ETL-02-10,見積依頼履歴情報_成功失敗ログ情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
167,164,ETL-02-10,見積依頼履歴情報_成功失敗ログ情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
168,165,ETL-02-10,見積依頼履歴情報_成功失敗ログ情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
170,167,MST-02-12,拠点承認単価情報,シーケンス図,作成,SKG,,,,,,,TODO
171,168,MST-02-12,拠点承認単価情報,クラス図,作成,SKG,,,,,,,TODO
172,169,MST-02-12,拠点承認単価情報,クラス仕様,作成,SKG,,,,,,,TODO
173,170,MST-02-12,拠点承認単価情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
174,171,MST-02-12,拠点承認単価情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
175,172,MST-02-12,拠点承認単価情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
177,174,MST-02-13,図面収集依頼情報,シーケンス図,作成,SKG,,,,,,,TODO
178,175,MST-02-13,図面収集依頼情報,クラス図,作成,SKG,,,,,,,TODO
179,176,MST-02-13,図面収集依頼情報,クラス仕様,作成,SKG,,,,,,,TODO
180,177,MST-02-13,図面収集依頼情報,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
181,178,MST-02-13,図面収集依頼情報,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
182,179,MST-02-13,図面収集依頼情報,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
